Model,MSO2024,
Firmware Version,CF:91.1CT FV:v1.39,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.002,0.002
Horizontal Delay,0.0181402,0.0181402
Sample Interval,1.6E-07,1.6E-07
Record Length,125000,125000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,11,-10.5
Vertical Scale,5,5
Vertical Position,0.44,-0.42
,,
,,
,,
Label,"",""
TIME,CH1,CH2
0.0081402,0,0.1
0.00814036,0,0.1
0.00814052,0,0.1
0.00814068,0,0.1
0.00814084,0,0.1
0.008141,0,0.1
0.00814116,0,0.1
0.00814132,0,0.1
0.00814148,0,0.1
0.00814164,0,0.1
0.0081418,0,0.1
0.00814196,0,0.1
0.00814212,0,0.1
0.00814228,0,-0.1
0.00814244,0,-0.1
0.0081426,0,0.1
0.00814276,0,0.1
0.00814292,0,-0.1
0.00814308,0,0.1
0.00814324,0,-0.1
0.0081434,0,0.1
0.00814356,0,0.1
0.00814372,0,-0.1
0.00814388,0,0.1
0.00814404,0,0.1
0.0081442,0,0.1
0.00814436,0,0.1
0.00814452,0,0.1
0.00814468,0,0.1
0.00814484,0,0.1
0.008145,0,-0.1
0.00814516,0,0.1
0.00814532,0,0.1
0.00814548,0,0.1
0.00814564,0,0.1
0.0081458,0,0.1
0.00814596,0,0.1
0.00814612,0,0.1
0.00814628,0,-0.1
0.00814644,0,0.1
0.0081466,0,0.1
0.00814676,0,0.1
0.00814692,0,0.1
0.00814708,0,0.1
0.00814724,0,0.1
0.0081474,0,-0.1
0.00814756,0,0.1
0.00814772,0,-0.1
0.00814788,0,0.1
0.00814804,0,0.1
0.0081482,0,0.1
0.00814836,0,-0.1
0.00814852,0,0.1
0.00814868,0,-0.1
0.00814884,0,0.1
0.008149,0,0.1
0.00814916,0,0.1
0.00814932,0,0.1
0.00814948,0,0.1
0.00814964,0,0.1
0.0081498,0,0.1
0.00814996,0,0.1
0.00815012,0,0.1
0.00815028,0,0.1
0.00815044,0,0.1
0.0081506,0,0.1
0.00815076,0,0.1
0.00815092,0,0.1
0.00815108,0,0.1
0.00815124,0,0.1
0.0081514,0,0.1
0.00815156,0,0.1
0.00815172,0,0.1
0.00815188,0,0.1
0.00815204,0,0.1
0.0081522,0,0.1
0.00815236,0,0.1
0.00815252,0,0.1
0.00815268,0,0.1
0.00815284,0,-0.1
0.008153,0,0.1
0.00815316,0,0.1
0.00815332,0,0.1
0.00815348,0,0.1
0.00815364,0,-0.1
0.0081538,0,0.1
0.00815396,0,0.1
0.00815412,0,0.1
0.00815428,0,0.1
0.00815444,0,0.1
0.0081546,0,0.1
0.00815476,0,0.1
0.00815492,0,-0.1
0.00815508,0,0.1
0.00815524,0,0.1
0.0081554,0,0.1
0.00815556,0,0.1
0.00815572,0,0.1
0.00815588,0,0.1
0.00815604,0,-0.1
0.0081562,0,-0.1
0.00815636,0,0.1
0.00815652,0,0.1
0.00815668,0,-0.1
0.00815684,0,0.1
0.008157,0,0.1
0.00815716,0,0.1
0.00815732,0,0.1
0.00815748,0,0.1
0.00815764,0,0.1
0.0081578,0,0.1
0.00815796,0,0.1
0.00815812,0,0.1
0.00815828,0,0.1
0.00815844,0,0.1
0.0081586,0,0.1
0.00815876,0,0.1
0.00815892,0,-0.1
0.00815908,0,0.1
